experiment,job,metric,metric_display,mean,std,num_seeds,complete
baseline/balanced,jobs/baseline/balanced.sh,aircraft_test_accuracy,Aircraft Lin.,0.1514151394,0.0069093741,3,True
baseline/balanced,jobs/baseline/balanced.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.0898089781,0.0043924772,3,True
baseline/balanced,jobs/baseline/balanced.sh,cars_test_accuracy,Cars Lin.,0.0797545984,0.0053483401,3,True
baseline/balanced,jobs/baseline/balanced.sh,carsknn_knn_test_accuracy,Cars kNN,0.0435850210,0.0042530424,3,True
baseline/balanced,jobs/baseline/balanced.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3276333511,0.0075367913,3,True
baseline/balanced,jobs/baseline/balanced.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.3698000014,0.0075822198,3,True
baseline/balanced,jobs/baseline/balanced.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6360666752,0.0068017035,3,True
baseline/balanced,jobs/baseline/balanced.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.6526333094,0.0124668675,3,True
baseline/balanced,jobs/baseline/balanced.sh,flowers_test_accuracy,Flowers Lin.,0.2244008780,0.0164484400,3,True
baseline/balanced,jobs/baseline/balanced.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.2228004485,0.0013311716,3,True
baseline/balanced,jobs/baseline/balanced.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.3897937238,0.0103894584,3,True
baseline/balanced,jobs/baseline/balanced.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.3398480117,0.0108294869,3,True
baseline/balanced,jobs/baseline/balanced.sh,pets_test_accuracy,Pets Lin.,0.3115942180,0.0203955285,3,True
baseline/balanced,jobs/baseline/balanced.sh,petsknn_knn_test_accuracy,Pets kNN,0.1720723361,0.0011015118,3,True
baseline/balanced,jobs/baseline/balanced.sh,training_time,Training time (h),14.2898864746,0.2395884842,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,aircraft_test_accuracy,Aircraft Lin.,0.1528152823,0.0085618114,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.0902090147,0.0025517275,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,cars_test_accuracy,Cars Lin.,0.0760736242,0.0106966849,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,carsknn_knn_test_accuracy,Cars kNN,0.0446081460,0.0063003097,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3323999941,0.0034117568,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.3859333098,0.0139399869,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6386666894,0.0023352343,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.6536666751,0.0416106246,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,flowers_test_accuracy,Flowers Lin.,0.2374727726,0.0099838246,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.2250772566,0.0025558989,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.3960912228,0.0028396687,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.3426710069,0.0034472228,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,pets_test_accuracy,Pets Lin.,0.2835144997,0.0134045649,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,petsknn_knn_test_accuracy,Pets kNN,0.1684382707,0.0017020961,3,True
baseline/imbalanced,jobs/baseline/imbalanced.sh,training_time,Training time (h),14.7802991867,0.4173993170,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,aircraft_test_accuracy,Aircraft Lin.,0.2239552091,0.0042015432,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.1168766270,0.0022086311,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,cars_test_accuracy,Cars Lin.,0.1519607852,0.0115395820,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,carsknn_knn_test_accuracy,Cars kNN,0.0674846619,0.0026506101,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3782666723,0.0026081121,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.4914333324,0.0017931923,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6898666819,0.0053168487,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.7597333392,0.0029465443,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,flowers_test_accuracy,Flowers Lin.,0.3679653704,0.0186197468,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.3646612565,0.0035854352,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.5379774173,0.0011065645,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.4806857606,0.0058553494,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,pets_test_accuracy,Pets Lin.,0.4293478231,0.0096712614,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,petsknn_knn_test_accuracy,Pets kNN,0.2530426929,0.0097392181,3,True
baseline/newmethod_imbalanced,jobs/baseline/newmethod_imbalanced.sh,training_time,Training time (h),20.9823436737,0.3865749386,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,aircraft_test_accuracy,Aircraft Lin.,0.1971605668,0.0061485629,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.1112777442,0.0044149960,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,cars_test_accuracy,Cars Lin.,0.1348039210,0.0026473647,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,carsknn_knn_test_accuracy,Cars kNN,0.0591002045,0.0020244372,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3569999933,0.0033595597,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.4171333313,0.0016739808,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6625666618,0.0018553375,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.6883666714,0.0009809212,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,flowers_test_accuracy,Flowers Lin.,0.3874458969,0.0340866125,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.3353929619,0.0010139983,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.5019531349,0.0024359881,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.4450954894,0.0066464338,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,pets_test_accuracy,Pets Lin.,0.3840579788,0.0257157066,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,petsknn_knn_test_accuracy,Pets kNN,0.2328791966,0.0053779726,3,True
ablations/architecture/resnet18,jobs/ablations/architecture/resnet18.sh,training_time,Training time (h),17.9856084188,0.0924416579,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,aircraft_test_accuracy,Aircraft Lin.,0.2239552091,0.0042015432,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.1168766270,0.0022086311,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,cars_test_accuracy,Cars Lin.,0.1519607852,0.0115395820,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,carsknn_knn_test_accuracy,Cars kNN,0.0674846619,0.0026506101,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3782666723,0.0026081121,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.4914333324,0.0017931923,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6898666819,0.0053168487,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.7597333392,0.0029465443,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,flowers_test_accuracy,Flowers Lin.,0.3679653704,0.0186197468,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.3646612565,0.0035854352,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.5379774173,0.0011065645,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.4806857606,0.0058553494,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,pets_test_accuracy,Pets Lin.,0.4293478231,0.0096712614,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,petsknn_knn_test_accuracy,Pets kNN,0.2530426929,0.0097392181,3,True
ablations/architecture/resnet50,jobs/ablations/architecture/resnet50.sh,training_time,Training time (h),20.9823436737,0.3865749386,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,aircraft_test_accuracy,Aircraft Lin.,0.1428142786,0.0080001727,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.0832083225,0.0024982472,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,cars_test_accuracy,Cars Lin.,0.0826175883,0.0049588340,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,carsknn_knn_test_accuracy,Cars kNN,0.0601596087,0.0016241567,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.4011000097,0.0075901151,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.4059666395,0.0226018447,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6926999688,0.0083162375,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.6602333188,0.0226751640,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,flowers_test_accuracy,Flowers Lin.,0.3877995908,0.0264147166,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.3977340460,0.0079427334,3,True
ablations/architecture/vit_b,jobs/ablations/architecture/vit_b.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.4453854561,0.0169923156,3,True
